final_exam,ga1,ga2,homework,CalculatedNumericResult,EndResult,Passed,origin,sex,croho,double_major,type_vooropleiding,ECTS,GPA,total_attended_labsessions,course_repeater,active_minutes,total_course_activities,nightly_activities,distinct_days,logged_in_weekly,nr_files_viewed,nr_distinct_files_viewed,nr_slides_viewed,nr_practice_exams_viewed
"6,7","6,9","6,1","9,0",6.8,7.0,true,ORIGIN_E,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,15,7.2,1,false,1746,372,68,30,1,57,31,16,7
"6,7","6,9","6,6","2,0",6.2,6.0,true,ORIGIN_N,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,5,5.1,0,false,1713,188,52,16,0,21,11,3,2
"6,7","7,0","7,3","10,0",7.2,7.0,true,ORIGIN_E,SEX_M,B Data Science (joint degree),false,BUITENL_SL,0,6.6,4,false,4661,476,136,49,1,64,28,32,2
"6,7","7,2","8,5","10,0",7.6,8.0,true,ORIGIN_E,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,15,7.3,2,false,4361,432,124,31,1,65,26,23,2
"6,7","7,3","6,8","10,0",7.1,7.0,true,ORIGIN_N,SEX_M,B Industrial Engineering,false,VWO,15,6.9,1,false,1310,352,44,32,1,51,29,12,4
"6,7","7,3","8,1","10,0",7.5,7.0,true,ORIGIN_N,SEX_V,B Industrial Design,false,VWO,10,6.9,11,false,1104,400,64,36,1,52,23,14,4
"6,7","7,3","8,2","10,0",7.5,7.0,true,ORIGIN_E,SEX_V,B Data Science (joint degree),false,BUITENL_SL,15,7.4,1,false,1970,444,104,35,1,62,28,20,8
"6,7","7,3","8,6","10,0",7.6,8.0,true,ORIGIN_E,SEX_M,B Industrial Engineering,false,BUITENL_SL,20-40,5.5,3,false,4000,416,40,39,1,59,29,17,6
"6,7","7,4","9,0","9,0",7.6,8.0,true,ORIGIN_N,SEX_V,B Industrial Design,false,OVERIG,10,6.4,4,false,8062,592,136,44,1,103,28,45,7
"6,7","7,4","9,4","10,0",7.8,8.0,true,ORIGIN_N,SEX_V,Other,false,VWO,60+,6.6,1,false,5007,288,8,32,1,40,31,11,4
"6,7","7,6","7,4","10,0",7.3,7.0,true,ORIGIN_E,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,15,5.8,2,false,2334,376,16,30,1,49,26,10,7
"6,7","7,6","8,3","10,0",7.6,8.0,true,ORIGIN_E,SEX_M,B Industrial Engineering,false,BUITENL_SL,10,6.8,3,false,1479,308,80,29,1,34,24,6,4
"6,7","7,7","6,5","10,0",7.1,7.0,true,ORIGIN_E,SEX_V,B Industrial Design,false,BUITENL_SL,5,6.6,7,false,1379,328,16,36,1,40,23,7,3
"6,7","7,7","7,1","10,0",7.3,7.0,true,ORIGIN_R,SEX_M,B Data Science (joint degree),false,BUITENL_SL,15,7.3,1,false,8436,816,124,64,1,149,36,59,18
"6,7","7,7","7,4","10,0",7.4,7.0,true,ORIGIN_E,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,15,6.9,5,false,3908,396,20,37,1,53,25,26,3
